Time,X,Y,Z
1534367451.90000391006469726562,4699684.82605262566357851028442,-9321412.52343085967004299163818,225.6266021728515625
1534367452.40000295639038085938,4699684.93561763968318700790405,-9321412.83103097230195999145508,226.087982177734375
1534367452.90023207664489746094,4699685.38594017922878265380859,-9321413.9509839359670877456665,226.518096923828125
1534367453.40000200271606445312,4699685.47615535557270050048828,-9321414.39985446818172931671143,226.966278076171875
1534367453.90000200271606445312,4699685.41337906848639249801636,-9321414.47155975177884101867676,227.4011688232421875
1534367454.40000295639038085938,4699685.32773084100335836410522,-9321414.52573272213339805603027,227.4827117919921875
1534367454.90023088455200195312,4699685.23582852911204099655151,-9321414.65383822098374366760254,226.312896728515625
1534367455.40000200271606445312,4699685.2106695435941219329834,-9321414.77094488963484764099121,226.181396484375
1534367455.90000200271606445312,4699685.17304362356662750244141,-9321414.87786531634628772735596,225.9904022216796875
1534367456.40000295639038085938,4699685.13030174281448125839233,-9321415.01901338808238506317139,225.857269287109375
1534367456.90022611618041992188,4699685.08538178447633981704712,-9321415.17714067548513412475586,225.73468017578125
1534367457.40000200271606445312,4699685.10089466068893671035767,-9321415.3793728873133659362793,225.7082977294921875
1534367457.90000200271606445312,4699685.13570858258754014968872,-9321415.44374158978462219238281,225.5458831787109375
1534367458.40000200271606445312,4699685.25486672762781381607056,-9321415.51854597590863704681396,225.5195770263671875
1534367458.90022301673889160156,4699685.29624708741903305053711,-9321415.58083818294107913970947,225.6762847900390625
1534367459.40000200271606445312,4699685.3698533968999981880188,-9321415.68750235997140407562256,225.6918487548828125
1534367459.90000295639038085938,4699685.39933571219444274902344,-9321415.74199067801237106323242,225.7431640625
1534367460.40000200271606445312,4699685.43773176986724138259888,-9321415.81918073073029518127441,225.7512969970703125
1534367460.90022110939025878906,4699685.45153996907174587249756,-9321415.89647273533046245574951,225.78363037109375
1534367461.40000200271606445312,4699685.46831696853041648864746,-9321415.95267969183623790740967,225.7380828857421875
1534367461.90000295639038085938,4699685.39798639062792062759399,-9321415.89802973344922065734863,226.77496337890625
1534367462.40000200271606445312,4699685.32280837092548608779907,-9321415.86841929331421852111816,226.61248779296875
